Date,Time,Longitude,Latitude,Altitude,Satellites
2.7.2016,21:42:58,-90.250648,45.738964,1550,6
2.7.2016,21:42:59,-90.25064,45.738967,1544,6
2.7.2016,21:43:00,-90.250633,45.738964,1532,6
2.7.2016,21:43:01,-90.250671,45.73891,1598,6
2.7.2016,21:43:02,-90.250679,45.738903,1606,6
2.7.2016,21:43:03,-90.250671,45.738906,1600,6
2.7.2016,21:43:04,-90.250663,45.738906,1596,6
2.7.2016,21:43:05,-90.250656,45.73891,1591,6
2.7.2016,21:43:06,-90.250656,45.73891,1591,6
2.7.2016,21:43:07,-90.250648,45.738914,1586,6
2.7.2016,21:43:08,-90.25064,45.738918,1583,6
2.7.2016,21:43:09,-90.250633,45.738918,1584,6
2.7.2016,21:43:10,-90.250625,45.738922,1581,6
2.7.2016,21:43:11,-90.250625,45.738922,1581,5
2.7.2016,21:43:12,-90.250625,45.738925,1580,5
2.7.2016,21:43:13,-90.250625,45.738925,1579,6
2.7.2016,21:43:14,-90.250633,45.738899,1590,6
2.7.2016,21:43:16,-90.25064,45.738895,1589,6
2.7.2016,21:43:17,-90.250648,45.738891,1589,6
2.7.2016,21:43:18,-90.250648,45.738887,1588,6
2.7.2016,21:43:19,-90.250656,45.738883,1586,6
2.7.2016,21:43:20,-90.250663,45.73888,1582,6
2.7.2016,21:43:21,-90.250663,45.738876,1578,6
2.7.2016,21:43:22,-90.250671,45.738872,1573,6
2.7.2016,21:43:23,-90.250671,45.738868,1571,6
2.7.2016,21:43:24,-90.250671,45.738864,1572,6
2.7.2016,21:43:25,-90.250671,45.738864,1571,6
2.7.2016,21:43:26,-90.250679,45.738864,1570,6
2.7.2016,21:43:27,-90.250679,45.738864,1569,6
2.7.2016,21:43:28,-90.250671,45.738864,1567,6
2.7.2016,21:43:29,-90.250671,45.738864,1567,6
2.7.2016,21:43:30,-90.250671,45.738864,1570,6
2.7.2016,21:43:31,-90.250663,45.738864,1570,6
2.7.2016,21:43:32,-90.25061,45.738883,1583,7
2.7.2016,21:43:33,-90.250617,45.738872,1586,7
2.7.2016,21:43:34,-90.250617,45.738872,1591,7
2.7.2016,21:43:35,-90.250625,45.738868,1601,7
2.7.2016,21:43:36,-90.25064,45.738864,1610,7
2.7.2016,21:43:37,-90.250648,45.738868,1628,7
2.7.2016,21:43:38,-90.250663,45.738864,1632,7
2.7.2016,21:43:39,-90.250663,45.738864,1637,7
2.7.2016,21:43:40,-90.250656,45.738868,1641,7
2.7.2016,21:43:41,-90.250648,45.738872,1646,7
2.7.2016,21:43:42,-90.250648,45.738872,1649,7
2.7.2016,21:43:43,-90.250648,45.738872,1652,6
2.7.2016,21:43:44,-90.250648,45.738876,1654,6
2.7.2016,21:43:45,-90.250648,45.738872,1652,6
2.7.2016,21:43:46,-90.250648,45.738872,1653,6
2.7.2016,21:43:47,-90.250648,45.738876,1648,6
2.7.2016,21:43:48,-90.25064,45.738876,1648,6
2.7.2016,21:43:49,-90.25064,45.738876,1648,6
2.7.2016,21:43:50,-90.25064,45.738876,1647,6
2.7.2016,21:43:51,-90.25064,45.738876,1647,6
2.7.2016,21:43:52,-90.25064,45.738876,1646,6
2.7.2016,21:43:53,-90.25064,45.738876,1646,6
2.7.2016,21:43:54,-90.25064,45.73888,1646,6
2.7.2016,21:43:55,-90.250633,45.73888,1645,6
2.7.2016,21:43:56,-90.250633,45.73888,1645,6
2.7.2016,21:43:57,-90.250633,45.73888,1645,6
2.7.2016,21:43:58,-90.250633,45.73888,1645,6
2.7.2016,21:43:59,-90.250633,45.73888,1645,6
2.7.2016,21:44:00,-90.250633,45.73888,1645,6
2.7.2016,21:44:01,-90.250633,45.73888,1645,6
2.7.2016,21:44:02,-90.250633,45.73888,1645,6
2.7.2016,21:44:03,-90.250633,45.73888,1645,6
2.7.2016,21:44:04,-90.250633,45.73888,1645,6
2.7.2016,21:44:05,-90.250633,45.73888,1645,6
2.7.2016,21:44:06,-90.250633,45.73888,1645,6
2.7.2016,21:44:07,-90.250625,45.73888,1645,6
2.7.2016,21:44:08,-90.250633,45.738883,1645,6
2.7.2016,21:44:09,-90.250625,45.738883,1645,6
2.7.2016,21:44:10,-90.250625,45.738883,1645,6
2.7.2016,21:44:11,-90.250625,45.738883,1645,6
2.7.2016,21:44:12,-90.250625,45.738883,1645,6
2.7.2016,21:44:13,-90.250625,45.738883,1645,6
2.7.2016,21:44:14,-90.250625,45.738883,1645,6
2.7.2016,21:44:15,-90.250617,45.738883,1646,6
2.7.2016,21:44:16,-90.250617,45.73888,1646,6
2.7.2016,21:44:17,-90.250617,45.73888,1646,6
2.7.2016,21:44:18,-90.250617,45.73888,1646,6
2.7.2016,21:44:19,-90.250617,45.73888,1646,6
2.7.2016,21:44:20,-90.250617,45.73888,1646,6
2.7.2016,21:44:21,-90.250617,45.73888,1646,6
2.7.2016,21:44:22,-90.250617,45.73888,1646,6
2.7.2016,21:44:23,-90.250617,45.73888,1646,6
2.7.2016,21:44:24,-90.250617,45.73888,1646,6
2.7.2016,21:44:25,-90.250617,45.73888,1646,6
2.7.2016,21:44:26,-90.250617,45.73888,1646,6
2.7.2016,21:44:27,-90.250617,45.73888,1646,6
2.7.2016,21:44:28,-90.250617,45.73888,1645,6
2.7.2016,21:44:29,-90.25061,45.73888,1645,6
2.7.2016,21:44:30,-90.25061,45.73888,1645,6
2.7.2016,21:44:31,-90.25061,45.73888,1645,6
2.7.2016,21:44:32,-90.25061,45.73888,1645,6
2.7.2016,21:44:33,-90.25061,45.73888,1645,6
2.7.2016,21:44:34,-90.25061,45.73888,1645,6
2.7.2016,21:44:35,-90.25061,45.73888,1645,6
2.7.2016,21:44:36,-90.25061,45.73888,1645,6
2.7.2016,21:44:37,-90.25061,45.73888,1645,6
2.7.2016,21:44:38,-90.25061,45.73888,1645,6
2.7.2016,21:44:39,-90.25061,45.73888,1645,6
2.7.2016,21:44:40,-90.25061,45.73888,1645,6
2.7.2016,21:44:41,-90.25061,45.73888,1645,6
2.7.2016,21:44:42,-90.25061,45.73888,1645,6
2.7.2016,21:44:43,-90.25061,45.73888,1644,6
2.7.2016,21:44:44,-90.25061,45.73888,1644,6
2.7.2016,21:44:45,-90.25061,45.73888,1644,6
2.7.2016,21:44:46,-90.25061,45.73888,1644,6
2.7.2016,21:44:47,-90.25061,45.73888,1644,6
2.7.2016,21:44:48,-90.25061,45.73888,1644,6
2.7.2016,21:44:49,-90.25061,45.73888,1644,6
2.7.2016,21:44:50,-90.25061,45.73888,1644,6
2.7.2016,21:44:51,-90.25061,45.73888,1644,6
2.7.2016,21:44:52,-90.25061,45.73888,1644,6
2.7.2016,21:44:53,-90.25061,45.73888,1644,6
2.7.2016,21:44:54,-90.25061,45.73888,1644,6
2.7.2016,21:44:55,-90.25061,45.73888,1644,6
2.7.2016,21:44:56,-90.25061,45.73888,1644,7
2.7.2016,21:44:57,-90.25061,45.73888,1644,7
2.7.2016,21:44:58,-90.25061,45.73888,1644,7
2.7.2016,21:44:59,-90.25061,45.73888,1644,7
2.7.2016,21:45:00,-90.25061,45.73888,1645,7
2.7.2016,21:45:01,-90.25061,45.73888,1645,7
2.7.2016,21:45:02,-90.25061,45.73888,1645,7
2.7.2016,21:45:03,-90.25061,45.73888,1645,7
2.7.2016,21:45:04,-90.25061,45.73888,1645,7
2.7.2016,21:45:05,-90.25061,45.73888,1645,7
2.7.2016,21:45:06,-90.25061,45.73888,1645,7
2.7.2016,21:45:07,-90.250602,45.73888,1645,7
2.7.2016,21:45:08,-90.250595,45.738883,1647,7
2.7.2016,21:45:09,-90.250587,45.738891,1648,7
2.7.2016,21:45:10,-90.250587,45.738891,1648,7
2.7.2016,21:45:11,-90.250579,45.738895,1649,7
2.7.2016,21:45:12,-90.250572,45.738899,1650,7
2.7.2016,21:45:13,-90.250564,45.738906,1651,7
2.7.2016,21:45:14,-90.250549,45.738906,1650,7
2.7.2016,21:45:15,-90.250549,45.73891,1650,7
2.7.2016,21:45:16,-90.250541,45.738914,1649,7
2.7.2016,21:45:17,-90.250526,45.738922,1649,7
2.7.2016,21:45:18,-90.250518,45.738925,1649,7
2.7.2016,21:45:19,-90.250511,45.738929,1649,7
2.7.2016,21:45:20,-90.250503,45.738933,1650,7
2.7.2016,21:45:21,-90.250495,45.738941,1650,7
2.7.2016,21:45:22,-90.250488,45.738945,1650,7
2.7.2016,21:45:23,-90.25048,45.738952,1650,7
2.7.2016,21:45:24,-90.250473,45.738956,1650,7
2.7.2016,21:45:25,-90.250473,45.73896,1650,7
2.7.2016,21:45:26,-90.250465,45.73896,1650,7
2.7.2016,21:45:27,-90.250465,45.738964,1650,7
2.7.2016,21:45:28,-90.250473,45.738967,1649,7
2.7.2016,21:45:29,-90.250473,45.738967,1649,7
2.7.2016,21:45:30,-90.250473,45.738971,1649,7
2.7.2016,21:45:31,-90.250473,45.738971,1648,7
2.7.2016,21:45:32,-90.250473,45.738975,1648,7
2.7.2016,21:45:33,-90.25048,45.738979,1647,7
2.7.2016,21:45:34,-90.25048,45.738979,1647,7
2.7.2016,21:45:35,-90.25048,45.738983,1646,7
2.7.2016,21:45:36,-90.25048,45.738979,1646,7
2.7.2016,21:45:37,-90.25048,45.738979,1645,7
2.7.2016,21:45:38,-90.25048,45.738983,1645,7
2.7.2016,21:45:39,-90.25048,45.738983,1645,7
2.7.2016,21:45:40,-90.25048,45.738986,1645,6
2.7.2016,21:45:41,-90.25048,45.738986,1644,7
2.7.2016,21:45:42,-90.25048,45.738986,1644,7
2.7.2016,21:45:43,-90.25048,45.738986,1644,7
2.7.2016,21:45:44,-90.250473,45.73899,1644,7
2.7.2016,21:45:45,-90.250473,45.738994,1644,6
2.7.2016,21:45:46,-90.250473,45.738994,1644,6
2.7.2016,21:45:47,-90.250473,45.738998,1644,7
2.7.2016,21:45:48,-90.250473,45.738998,1644,6
2.7.2016,21:45:49,-90.250473,45.738998,1644,6
2.7.2016,21:45:50,-90.250473,45.738998,1644,7
2.7.2016,21:45:51,-90.250473,45.738998,1643,7
2.7.2016,21:45:52,-90.250473,45.738998,1643,7
2.7.2016,21:45:53,-90.250465,45.738998,1643,6
2.7.2016,21:45:54,-90.250465,45.739002,1644,6
2.7.2016,21:45:55,-90.250465,45.739002,1645,6
2.7.2016,21:45:56,-90.250465,45.739002,1645,6
2.7.2016,21:45:57,-90.250465,45.739002,1645,6
2.7.2016,21:45:58,-90.250465,45.739002,1645,6
2.7.2016,21:45:59,-90.250465,45.739002,1645,6
2.7.2016,21:46:00,-90.250465,45.739002,1645,6
2.7.2016,21:46:01,-90.250465,45.739002,1645,6
2.7.2016,21:46:02,-90.250465,45.739002,1645,6
2.7.2016,21:46:03,-90.250465,45.739002,1644,6
2.7.2016,21:46:04,-90.250465,45.739002,1644,6
2.7.2016,21:46:05,-90.250465,45.739002,1644,6
2.7.2016,21:46:06,-90.250465,45.739002,1644,6
